,x,y,z,t,activity
3139,0.18,-0.32,0.12,128545,Running
3140,0.05,-0.51,0.11,128586,Running
3141,-0.17,-0.77,0.03,128626,Running
3142,0.26,-0.72,0.12,128667,Running
3143,1.53,-0.82,0.32,128707,Running
3144,2.57,-0.66,0.06,128748,Running
3145,3.15,-0.38,0.2,128789,Running
3146,2.11,-0.05,0.21,128829,Running
3147,1.42,0.21,0.23,128870,Running
3148,0.8,0.29,0.26,128910,Running
3149,0.22,0.35,0.2,128950,Running
3150,0.09,0.51,0.21,128990,Running
3151,0.06,0.82,0.12,129030,Running
3152,0.11,0.78,0.05,129070,Running
3153,0.68,0.8,-0.03,129110,Running
3154,3.0,0.97,0.09,129152,Running
3155,3.1,0.0,0.11,129193,Running
3156,2.45,-0.49,-0.05,129234,Running
3157,1.37,-0.58,0.12,129274,Running
3158,0.45,-0.71,0.13,129315,Running
3159,-0.06,-0.63,0.05,129355,Running
3160,-0.17,-0.67,-0.04,129396,Running
3161,-0.14,-0.88,-0.09,129437,Running
3162,0.14,-0.84,-0.06,129478,Running
3163,1.0,-0.57,0.24,129518,Running
3164,2.74,-0.46,0.07,129558,Running
3165,3.04,0.04,0.34,129599,Running
3166,2.33,0.35,0.18,129639,Running
3167,1.45,0.43,0.5,129679,Running
3168,0.58,0.5,0.48,129719,Running
3169,0.04,0.82,0.34,129760,Running
3170,-0.18,1.04,0.09,129800,Running
3171,-0.13,0.89,-0.06,129841,Running
3172,0.36,0.95,-0.24,129881,Running
3173,2.04,0.68,-0.08,129922,Running
3174,3.18,-0.14,-0.34,129964,Running
3175,2.7,-0.36,0.08,130006,Running
3176,1.69,-0.52,0.18,130046,Running
3177,0.61,-0.45,0.12,130086,Running
3178,0.14,-0.6,0.07,130127,Running
3179,-0.02,-0.75,-0.04,130167,Running
3180,-0.18,-0.96,-0.14,130208,Running
3181,0.02,-0.75,-0.09,130249,Running
3182,0.85,-0.69,0.04,130290,Running
3183,2.41,-0.46,-0.01,130330,Running
3184,3.16,-0.57,0.13,130371,Running
3185,2.33,-0.04,0.21,130411,Running
3186,1.56,0.16,0.41,130451,Running
3187,0.71,0.5,0.41,130491,Running
3188,0.07,0.7,0.22,130531,Running
3189,-0.19,0.84,0.13,130571,Running
3190,-0.18,0.77,0.08,130611,Running
3191,-0.11,0.73,-0.03,130651,Running
3192,0.62,0.76,-0.12,130692,Running
3193,3.23,0.89,-0.32,130732,Running
3194,3.56,-0.32,-0.15,130772,Running
3195,2.41,-0.59,-0.08,130812,Running
3196,1.21,-0.55,0.05,130853,Running
3197,0.32,-0.53,0.1,130893,Running
3198,-0.21,-0.61,0.07,130933,Running
3199,-0.37,-0.85,-0.08,130974,Running
3200,-0.25,-0.91,-0.02,131015,Running
3201,0.32,-0.83,-0.05,131056,Running
3202,1.9,-0.59,0.17,131096,Running
3203,3.02,-0.29,-0.11,131137,Running
3204,2.76,0.03,-0.01,131178,Running
3205,1.96,0.04,0.17,131218,Running
3206,0.97,0.21,0.25,131258,Running
3207,0.39,0.3,0.24,131298,Running
3208,0.08,0.46,0.31,131338,Running
3209,-0.13,0.69,0.2,131379,Running
3210,-0.13,0.72,0.11,131419,Running
3211,0.24,0.75,-0.0,131459,Running
3212,1.35,0.86,-0.23,131500,Running
3213,3.97,0.1,-0.39,131542,Running
3214,2.97,-0.46,-0.33,131582,Running
3215,1.94,-0.51,-0.14,131622,Running
3216,0.92,-0.59,0.07,131663,Running
3217,0.07,-0.66,0.21,131703,Running
3218,-0.38,-0.73,0.15,131744,Running
3219,-0.52,-0.88,0.06,131785,Running
3220,-0.14,-0.84,-0.01,131825,Running
3221,0.73,-0.72,-0.06,131866,Running
3222,2.24,-0.52,-0.13,131907,Running
3223,3.13,-0.25,-0.27,131948,Running
3224,2.65,-0.18,0.02,131989,Running
3225,1.61,0.0,0.24,132029,Running
3226,0.77,0.21,0.32,132069,Running
3227,0.23,0.33,0.3,132109,Running
3228,-0.02,0.52,0.3,132149,Running
3229,-0.09,0.8,0.23,132190,Running
3230,0.07,0.79,0.1,132230,Running
3231,0.7,0.79,-0.1,132270,Running
3232,2.32,0.74,-0.12,132310,Running
3233,3.56,-0.32,-0.26,132350,Running
3234,2.7,-0.77,-0.28,132391,Running
3235,1.65,-0.72,-0.05,132431,Running
3236,0.54,-0.61,0.07,132472,Running
3237,-0.15,-0.57,0.08,132513,Running
3238,-0.43,-0.68,0.0,132554,Running
3239,-0.38,-0.81,-0.08,132594,Running
3240,-0.05,-0.84,-0.04,132636,Running
3241,0.89,-0.69,0.14,132677,Running
3242,2.82,-0.72,-0.08,132717,Running
3243,3.16,-0.48,0.24,132758,Running
3244,2.32,-0.29,0.32,132798,Running
3245,1.46,0.02,0.26,132839,Running
3246,0.71,0.28,0.2,132879,Running
3247,0.27,0.43,0.25,132919,Running
3248,-0.06,0.63,0.15,132959,Running
3249,-0.13,0.73,0.15,132999,Running
3250,0.07,0.69,0.08,133040,Running
3251,0.72,0.64,-0.01,133080,Running
3252,2.24,0.77,-0.12,133120,Running
3253,3.45,-0.41,-0.25,133161,Running
3254,2.45,-0.68,-0.27,133202,Running
3255,1.59,-0.51,0.0,133243,Running
3256,0.57,-0.3,0.07,133283,Running
3257,-0.04,-0.32,0.11,133324,Running
3258,-0.37,-0.56,0.05,133364,Running
3259,-0.52,-0.93,-0.07,133405,Running
3260,-0.06,-1.16,-0.06,133446,Running
3261,1.46,-1.06,-0.11,133487,Running
3262,3.03,-0.59,-0.25,133528,Running
3263,3.14,-0.25,-0.09,133569,Running
3264,2.06,-0.04,0.13,133609,Running
3265,1.03,0.27,0.14,133650,Running
3266,0.53,0.32,0.15,133690,Running
3267,0.23,0.47,0.25,133730,Running
3268,0.01,0.64,0.14,133770,Running
3269,0.08,0.75,0.06,133810,Running
3270,0.5,1.01,-0.16,133850,Running
3271,1.23,0.65,-0.38,133891,Running
3272,2.92,0.34,-0.2,133931,Running
3273,3.2,-0.84,0.04,133971,Running
3274,2.22,-0.8,-0.05,134011,Running
3275,1.31,-0.52,0.12,134052,Running
3276,0.51,-0.48,0.16,134092,Running
3277,-0.15,-0.5,0.14,134132,Running
3278,-0.45,-0.58,0.03,134173,Running
3279,-0.23,-0.7,0.09,134214,Running
3280,0.2,-0.75,0.03,134255,Running
3281,1.46,-0.72,0.14,134295,Running
3282,2.97,-0.44,-0.28,134335,Running
3283,2.89,-0.05,-0.05,134376,Running
3284,2.01,0.08,0.11,134417,Running
3285,0.91,0.19,0.2,134458,Running
3286,0.39,0.38,0.28,134498,Running
3287,0.09,0.51,0.34,134538,Running
3288,-0.16,0.64,0.31,134578,Running
3289,-0.2,0.64,0.2,134619,Running
3290,0.19,0.72,0.09,134659,Running
3291,1.6,0.92,-0.11,134699,Running
3292,4.0,-0.05,-0.35,134739,Running
3293,2.72,-0.2,-0.21,134779,Running
3294,1.89,-0.38,-0.11,134820,Running
3295,0.88,-0.34,0.03,134861,Running
3296,0.14,-0.46,0.11,134901,Running
3297,-0.12,-0.68,0.11,134942,Running
3298,-0.36,-0.95,-0.04,134983,Running
3299,-0.17,-0.97,-0.08,135024,Running
3300,0.55,-0.8,-0.05,135065,Running
3301,2.08,-0.59,0.06,135106,Running
3302,2.63,-0.1,-0.15,135146,Running
3303,2.72,0.06,0.02,135187,Running
3304,1.98,0.02,0.18,135227,Running
3305,0.98,0.09,0.32,135267,Running
3306,0.37,0.27,0.33,135307,Running
3307,0.11,0.5,0.35,135347,Running
3308,-0.11,0.67,0.24,135387,Running
3309,-0.07,0.6,0.14,135427,Running
3310,0.27,0.62,0.06,135468,Running
3311,1.95,0.83,-0.12,135510,Running
3312,3.92,-0.18,-0.26,135552,Running
3313,2.7,-0.43,-0.13,135592,Running
3314,1.71,-0.54,0.01,135633,Running
3315,0.72,-0.58,0.05,135673,Running
3316,-0.04,-0.59,0.1,135713,Running
3317,-0.37,-0.68,0.03,135754,Running
3318,-0.4,-0.77,0.01,135795,Running
3319,-0.02,-0.82,-0.01,135836,Running
3320,1.03,-0.68,0.08,135877,Running
3321,2.67,-0.4,-0.27,135917,Running
3322,3.05,-0.18,-0.04,135958,Running
3323,2.31,0.05,0.09,135998,Running
3324,1.33,0.17,0.24,136039,Running
3325,0.51,0.29,0.23,136079,Running
3326,0.18,0.45,0.28,136119,Running
3327,0.04,0.64,0.24,136159,Running
3328,0.11,0.64,0.19,136199,Running
3329,0.43,0.6,0.12,136239,Running
3330,1.08,0.4,0.04,136279,Running
3331,2.01,0.8,-0.16,136321,Running
3332,3.17,-0.04,-0.49,136363,Running
3333,2.5,-0.93,-0.42,136403,Running
3334,1.32,-0.88,-0.11,136443,Running
3335,0.5,-0.74,0.07,136484,Running
3336,-0.08,-0.58,0.1,136524,Running
3337,-0.38,-0.73,-0.05,136565,Running
3338,-0.26,-0.83,0.0,136606,Running
3339,0.27,-0.83,-0.1,136646,Running
3340,1.57,-0.56,-0.01,136687,Running
3341,2.88,-0.39,-0.25,136727,Running
3342,2.61,-0.0,-0.02,136768,Running
3343,1.89,0.16,0.19,136809,Running
3344,1.0,0.33,0.35,136849,Running
3345,0.32,0.34,0.28,136889,Running
3346,0.02,0.46,0.31,136930,Running
3347,-0.03,0.69,0.21,136970,Running
3348,-0.02,0.72,0.12,137011,Running
3349,0.3,0.63,0.04,137051,Running
3350,2.16,0.83,-0.03,137091,Running
3351,3.82,-0.39,-0.2,137132,Running
3352,2.65,-0.73,-0.22,137174,Running
3353,1.88,-0.64,-0.12,137214,Running
3354,0.8,-0.6,-0.08,137254,Running
3355,0.03,-0.59,-0.01,137295,Running
3356,-0.24,-0.72,-0.02,137336,Running
3357,-0.45,-0.79,-0.12,137377,Running
3358,-0.23,-0.89,-0.13,137418,Running
3359,0.66,-0.75,-0.04,137459,Running
3360,2.38,-0.48,-0.19,137499,Running
3361,3.1,-0.25,0.04,137540,Running
3362,2.44,-0.06,0.18,137580,Running
3363,1.64,0.12,0.34,137620,Running
3364,0.77,0.3,0.28,137660,Running
3365,0.18,0.43,0.25,137700,Running
3366,-0.04,0.64,0.23,137740,Running
3367,-0.07,0.69,0.13,137781,Running
3368,0.14,0.75,0.05,137821,Running
3369,0.68,0.66,-0.06,137861,Running
3370,2.11,0.7,-0.16,137901,Running
3371,3.02,-0.21,-0.11,137943,Running
3372,2.29,-0.45,-0.32,137984,Running
3373,1.7,-0.54,-0.08,138024,Running
3374,0.75,-0.56,0.05,138065,Running
3375,0.18,-0.56,0.15,138105,Running
3376,-0.16,-0.66,0.09,138145,Running
3377,-0.34,-0.8,-0.03,138186,Running
3378,-0.09,-0.83,-0.04,138227,Running
3379,0.66,-0.75,0.07,138268,Running
3380,2.3,-0.72,-0.18,138308,Running
3381,3.11,-0.55,0.04,138349,Running
3382,2.35,-0.26,0.15,138390,Running
3383,1.53,0.08,0.28,138430,Running
3384,0.81,0.37,0.27,138470,Running
3385,0.19,0.5,0.3,138510,Running
3386,-0.14,0.66,0.19,138550,Running
3387,-0.09,0.68,0.14,138590,Running
3388,0.09,0.62,0.07,138631,Running
3389,0.95,0.56,-0.11,138672,Running
3390,2.57,0.47,-0.11,138712,Running
3391,2.87,-0.44,-0.24,138752,Running
3392,2.48,-0.6,-0.23,138792,Running
3393,1.46,-0.54,-0.07,138833,Running
3394,0.63,-0.48,0.04,138873,Running
3395,0.05,-0.48,0.12,138914,Running
3396,-0.27,-0.59,0.11,138954,Running
3397,-0.3,-0.71,0.09,138995,Running
3398,0.01,-0.78,0.07,139036,Running
3399,1.11,-0.64,0.08,139076,Running
3400,3.03,-0.58,-0.35,139116,Running
3401,3.0,-0.31,-0.09,139157,Running
3402,2.01,-0.11,0.08,139198,Running
3403,1.09,0.22,0.14,139238,Running
3404,0.42,0.49,0.16,139278,Running
3405,-0.02,0.68,0.19,139319,Running
3406,-0.12,0.74,0.15,139359,Running
3407,-0.16,0.73,0.11,139399,Running
3408,0.29,0.73,0.02,139440,Running
3409,1.79,0.74,-0.28,139480,Running
3410,3.57,-0.29,-0.44,139520,Running
3411,2.76,-0.75,-0.36,139560,Running
3412,1.97,-0.56,-0.26,139600,Running
3413,1.0,-0.47,-0.06,139641,Running
3414,0.24,-0.42,0.07,139682,Running
3415,-0.11,-0.54,0.09,139722,Running
3416,-0.39,-0.86,-0.02,139763,Running
3417,-0.23,-1.07,-0.04,139804,Running
3418,0.48,-0.94,-0.05,139845,Running
3419,1.73,-0.31,-0.07,139886,Running
3420,2.89,0.02,-0.17,139927,Running
3421,2.52,0.02,0.08,139967,Running
3422,1.52,0.12,0.16,140007,Running
3423,0.87,0.26,0.2,140047,Running
3424,0.42,0.22,0.25,140087,Running
3425,0.08,0.34,0.2,140127,Running
3426,0.09,0.44,0.15,140167,Running
3427,0.23,0.48,0.14,140207,Running
3428,0.48,0.38,0.07,140247,Running
3429,1.75,0.23,0.07,140289,Running
3430,3.21,-0.77,-0.3,140331,Running
3431,2.46,-0.71,-0.11,140371,Running
3432,1.85,-0.49,0.04,140412,Running
3433,0.88,-0.37,0.16,140452,Running
3434,0.1,-0.38,0.22,140492,Running
3435,-0.16,-0.56,0.18,140532,Running
3436,-0.44,-0.75,0.02,140573,Running
3437,-0.33,-0.84,-0.1,140614,Running
3438,0.3,-0.79,-0.13,140655,Running
3439,1.52,-0.35,-0.02,140695,Running
3440,2.77,-0.16,-0.43,140736,Running
3441,2.64,-0.15,-0.02,140777,Running
3442,1.72,-0.04,0.14,140818,Running
3443,0.9,0.19,0.22,140858,Running
3444,0.41,0.2,0.27,140898,Running
3445,0.12,0.33,0.23,140938,Running
3446,0.05,0.56,0.2,140978,Running
3447,0.0,0.62,0.11,141018,Running
3448,0.16,0.56,0.0,141058,Running
3449,1.44,0.57,-0.05,141099,Running
3450,3.68,-1.09,-0.33,141140,Running
3451,2.57,-1.02,0.15,141181,Running
3452,2.14,-0.79,0.37,141222,Running
3453,0.95,-0.63,0.38,141262,Running
3454,0.33,-0.41,0.28,141302,Running
3455,0.04,-0.71,0.18,141343,Running
3456,-0.26,-0.66,0.04,141383,Running
3457,-0.36,-0.55,-0.12,141424,Running
3458,0.35,-0.54,0.11,141465,Running
3459,2.37,-0.72,-0.59,141505,Running
3460,2.98,-0.39,0.03,141546,Running
3461,2.16,-0.13,0.07,141586,Running
3462,1.55,0.13,0.19,141627,Running
3463,0.9,0.37,0.32,141667,Running
3464,0.3,0.68,0.3,141707,Running
3465,0.09,0.67,0.27,141747,Running
3466,-0.01,0.63,0.12,141787,Running
3467,0.09,0.62,0.0,141827,Running
3468,0.9,0.39,-0.15,141868,Running
3469,1.63,0.18,-0.37,141910,Running
3470,2.86,-0.35,-0.52,141952,Running
3471,2.74,-0.85,-0.47,141992,Running
3472,1.43,-0.71,-0.25,142033,Running
3473,1.0,-0.21,-0.09,142074,Running
3474,0.71,-0.15,-0.02,142114,Running
3475,0.19,-0.27,0.01,142155,Running
3476,-0.07,-0.43,-0.07,142195,Running
3477,-0.33,-0.58,0.01,142236,Running
3478,-0.26,-0.23,0.18,142277,Running
3479,0.53,0.16,-0.14,142318,Running
3480,2.23,-0.27,0.02,142359,Running
3481,3.25,-0.89,-0.09,142399,Running
3482,1.8,-0.44,0.24,142440,Running
3483,0.76,-0.09,0.25,142480,Running
3484,0.61,0.13,0.25,142521,Running
3485,0.28,0.35,0.37,142561,Running
3486,-0.02,0.89,0.11,142601,Running
3487,0.1,1.0,-0.09,142641,Running
3488,0.46,1.38,-0.5,142682,Running
3489,2.4,1.04,-0.93,142722,Running
3490,3.0,-0.73,-0.66,142763,Running
3491,2.73,-1.09,-0.63,142804,Running
3492,1.75,-0.96,-0.23,142845,Running
3493,1.03,-0.41,-0.13,142886,Running
3494,0.59,-0.13,-0.05,142927,Running
3495,0.18,-0.24,-0.0,142967,Running
3496,-0.12,-0.51,0.09,143008,Running
3497,-0.15,-0.46,0.14,143049,Running
3498,0.38,-0.5,0.31,143089,Running
3499,2.29,-0.56,-0.05,143130,Running
3500,2.93,-1.02,0.26,143170,Running
3501,1.87,-0.47,0.53,143211,Running
3502,1.27,0.12,0.37,143251,Running
3503,0.53,0.36,0.38,143291,Running
3504,0.26,0.72,0.34,143331,Running
3505,0.19,0.75,0.21,143371,Running
3506,0.46,0.81,-0.03,143412,Running
3507,1.78,0.3,-0.02,143453,Running
3508,1.92,0.46,-0.09,143493,Running
3509,2.09,0.16,-0.17,143533,Running
3510,1.86,-0.02,-0.25,143574,Running
3511,1.77,-0.65,-0.14,143614,Running
3512,0.71,-0.61,-0.06,143654,Running
3513,0.33,-0.58,-0.03,143695,Running
3514,0.07,-0.57,-0.03,143735,Running
3515,-0.05,-0.68,-0.13,143776,Running
3516,0.26,-0.71,-0.02,143817,Running
3517,0.8,-0.61,0.12,143857,Running
3518,2.03,-0.46,0.11,143897,Running
3519,2.29,-0.18,0.05,143938,Running
3520,2.19,-0.14,0.04,143978,Running
3521,1.66,-0.25,0.09,144019,Running
3522,0.83,0.03,0.24,144059,Running
3523,0.46,0.38,0.23,144099,Running
3524,0.34,0.6,0.39,144139,Running
3525,-0.01,0.63,0.18,144179,Running
3526,0.01,0.67,0.09,144219,Running
3527,0.44,0.64,-0.1,144259,Running
3528,2.47,0.79,-0.38,144299,Running
3529,2.88,-0.28,-0.44,144340,Running
3530,2.34,-0.35,-0.41,144381,Running
3531,1.41,-0.39,-0.27,144422,Running
3532,0.65,-0.23,-0.18,144462,Running
3533,0.21,-0.34,-0.08,144503,Running
3534,0.04,-0.61,-0.04,144543,Running
3535,-0.12,-0.9,-0.16,144584,Running
3536,0.05,-0.91,-0.18,144625,Running
3537,0.55,-0.68,0.05,144665,Running
3538,1.54,-0.41,-0.27,144706,Running
3539,3.0,-0.34,-0.21,144746,Running
3540,2.46,-0.34,-0.02,144787,Running
3541,1.63,-0.21,0.19,144828,Running
3542,0.91,0.1,0.3,144868,Running
3543,0.26,0.29,0.33,144908,Running
3544,-0.08,0.52,0.36,144949,Running
3545,-0.15,0.59,0.23,144989,Running
3546,-0.01,0.76,0.09,145029,Running
3547,0.6,0.74,-0.1,145070,Running
3548,1.55,0.84,-0.21,145110,Running
3549,3.52,0.16,-0.55,145150,Running
3550,2.96,-0.22,-0.28,145190,Running
3551,1.79,-0.56,-0.03,145231,Running
3552,0.75,-0.66,0.11,145272,Running
3553,0.07,-0.7,0.16,145312,Running
3554,-0.24,-0.65,0.11,145352,Running
3555,-0.35,-0.77,0.02,145393,Running
3556,-0.04,-0.85,0.01,145434,Running
3557,1.11,-0.74,0.07,145474,Running
3558,2.72,-0.59,-0.34,145515,Running
3559,3.04,-0.43,-0.02,145556,Running
3560,2.06,-0.18,0.17,145596,Running
3561,1.29,-0.07,0.32,145637,Running
3562,0.29,0.18,0.3,145677,Running
3563,-0.04,0.34,0.2,145717,Running
3564,-0.08,0.5,0.23,145758,Running
3565,-0.13,0.66,0.13,145798,Running
3566,0.14,0.67,0.06,145838,Running
3567,1.18,0.46,0.01,145878,Running
3568,2.63,0.41,-0.23,145918,Running
3569,3.11,-0.31,-0.24,145958,Running
3570,2.34,-0.56,-0.21,145999,Running
3571,1.26,-0.46,-0.04,146040,Running
3572,0.39,-0.3,0.08,146081,Running
3573,-0.01,-0.46,0.12,146121,Running
3574,-0.25,-0.73,0.01,146162,Running
3575,-0.22,-1.04,-0.08,146202,Running
3576,0.14,-1.02,-0.07,146242,Running
3577,1.11,-0.7,-0.06,146282,Running
3578,2.59,-0.43,-0.34,146323,Running
3579,2.64,-0.51,-0.2,146364,Running
3580,2.07,-0.3,0.08,146405,Running
3581,1.51,-0.12,0.31,146445,Running
3582,0.66,0.09,0.42,146485,Running
3583,0.09,0.33,0.34,146525,Running
3584,0.09,0.54,0.27,146565,Running
3585,0.15,0.57,0.17,146605,Running
3586,0.36,0.46,0.12,146647,Running
3587,1.01,0.22,0.07,146689,Running
3588,2.17,0.25,-0.12,146731,Running
3589,3.13,-0.86,-0.33,146771,Running
3590,1.95,-1.04,-0.42,146812,Running
3591,1.38,-0.59,-0.04,146852,Running
3592,0.56,-0.38,0.09,146893,Running
3593,-0.11,-0.24,0.11,146933,Running
3594,-0.31,-0.45,0.08,146974,Running
3595,-0.41,-0.7,-0.0,147015,Running
3596,-0.12,-0.71,-0.07,147056,Running
3597,0.39,-0.63,0.14,147097,Running
3598,2.33,-0.53,-0.27,147137,Running
3599,3.56,-0.57,-0.04,147178,Running
3600,2.09,-0.31,0.24,147219,Running
3601,1.25,0.03,0.22,147260,Running
3602,0.48,0.28,0.22,147300,Running
3603,0.19,0.39,0.22,147340,Running
3604,0.03,0.59,0.14,147380,Running
3605,0.14,0.55,0.09,147420,Running
3606,0.63,0.58,0.06,147460,Running
3607,1.48,0.25,0.09,147500,Running
3608,2.47,0.36,-0.05,147542,Running
3609,2.84,-0.41,-0.19,147584,Running
3610,1.86,-0.45,-0.23,147624,Running
3611,0.99,-0.57,-0.02,147665,Running
3612,0.26,-0.4,0.06,147706,Running
3613,-0.01,-0.55,0.08,147746,Running
3614,-0.21,-0.7,-0.05,147787,Running
3615,-0.16,-0.88,-0.11,147828,Running
3616,0.2,-0.95,-0.12,147869,Running
3617,1.31,-0.73,-0.13,147910,Running
3618,2.61,-0.51,-0.16,147950,Running
3619,2.58,-0.39,-0.01,147991,Running
3620,1.89,0.04,0.24,148032,Running
3621,1.2,0.21,0.43,148072,Running
3622,0.47,0.44,0.37,148112,Running
3623,0.06,0.66,0.36,148153,Running
3624,-0.1,0.74,0.22,148193,Running
3625,0.16,0.79,0.04,148234,Running
3626,0.92,0.64,-0.26,148274,Running
3627,1.55,0.62,-0.18,148314,Running
3628,2.99,-0.42,-0.23,148354,Running
3629,2.36,-0.41,0.09,148395,Running
3630,1.81,-0.39,0.06,148435,Running
3631,0.95,-0.2,0.14,148476,Running
3632,0.43,-0.21,0.19,148516,Running
3633,0.14,-0.45,0.2,148557,Running
3634,-0.07,-0.9,0.05,148597,Running
3635,0.17,-1.09,-0.02,148638,Running
3636,0.55,-0.83,-0.07,148678,Running
3637,1.43,-0.37,-0.12,148719,Running
3638,2.39,-0.22,-0.36,148760,Running
3639,2.52,-0.41,-0.17,148801,Running
3640,1.68,-0.2,0.13,148842,Running
3641,0.95,0.06,0.3,148882,Running
3642,0.5,0.32,0.33,148922,Running
3643,0.16,0.61,0.37,148962,Running
3644,-0.02,0.78,0.26,149002,Running
3645,0.09,0.66,0.11,149042,Running
3646,0.35,0.72,-0.01,149082,Running
3647,1.48,0.52,-0.2,149123,Running
3648,3.82,-0.3,-0.39,149163,Running
3649,2.94,-0.55,-0.25,149203,Running
3650,2.05,-0.7,-0.03,149243,Running
3651,0.87,-0.75,0.09,149284,Running
3652,0.0,-0.71,0.17,149325,Running
3653,-0.34,-0.73,0.13,149365,Running
3654,-0.49,-0.79,-0.03,149406,Running
3655,-0.11,-0.77,-0.08,149447,Running
3656,0.52,-0.63,-0.11,149488,Running
3657,1.8,-0.26,-0.17,149529,Running
3658,2.96,-0.05,-0.24,149569,Running
3659,2.66,0.06,0.02,149610,Running
3660,1.87,0.03,0.34,149650,Running
3661,0.91,0.16,0.37,149690,Running
3662,0.3,0.29,0.34,149731,Running
3663,0.03,0.61,0.37,149771,Running
3664,-0.04,0.86,0.15,149811,Running
3665,0.05,0.73,0.07,149851,Running
3666,0.52,0.55,-0.03,149891,Running
3667,2.03,0.71,-0.12,149932,Running
3668,3.55,-0.59,-0.33,149974,Running
3669,2.4,-0.64,-0.18,150014,Running
3670,1.6,-0.5,-0.06,150054,Running
3671,0.71,-0.38,0.01,150095,Running
3672,0.07,-0.5,0.16,150135,Running
3673,-0.3,-0.66,0.08,150175,Running
3674,-0.5,-0.85,-0.0,150216,Running
3675,-0.12,-0.83,-0.05,150257,Running
3676,0.77,-0.57,-0.11,150298,Running
3677,2.63,-0.34,-0.53,150338,Running
3678,3.23,-0.07,-0.31,150379,Running
3679,2.4,-0.06,0.02,150420,Running
3680,1.35,0.1,0.18,150460,Running
3681,0.64,0.32,0.2,150500,Running
3682,0.17,0.39,0.22,150540,Running
3683,-0.08,0.57,0.31,150580,Running
3684,-0.16,0.7,0.17,150620,Running
3685,0.02,0.77,0.07,150660,Running
3686,0.88,0.55,-0.09,150700,Running
3687,2.32,0.84,-0.14,150742,Running
3688,3.06,-0.3,-0.29,150782,Running
3689,2.5,-0.51,-0.29,150823,Running
3690,1.53,-0.5,-0.05,150863,Running
3691,0.59,-0.53,0.18,150904,Running
3692,-0.1,-0.52,0.19,150944,Running
3693,-0.41,-0.67,0.1,150985,Running
3694,-0.36,-0.84,0.03,151026,Running
3695,0.19,-0.91,-0.06,151066,Running
3696,1.52,-0.78,0.07,151107,Running
3697,2.64,-0.32,-0.26,151147,Running
3698,2.81,-0.02,0.01,151188,Running
3699,2.05,0.02,0.2,151228,Running
3700,1.11,0.13,0.33,151268,Running
3701,0.51,0.34,0.3,151308,Running
3702,0.19,0.46,0.43,151348,Running
3703,-0.06,0.6,0.26,151388,Running
3704,0.0,0.61,0.14,151428,Running
3705,0.36,0.58,0.08,151468,Running
3706,1.06,0.53,-0.12,151510,Running
3707,3.13,0.29,-0.29,151552,Running
3708,2.95,-0.41,-0.2,151593,Running
3709,2.17,-0.45,-0.22,151634,Running
3710,1.26,-0.36,0.04,151675,Running
3711,0.43,-0.34,0.13,151715,Running
3712,-0.11,-0.52,0.21,151756,Running
3713,-0.56,-0.91,0.08,151796,Running
3714,-0.32,-1.0,0.08,151837,Running
3715,0.48,-0.88,-0.07,151878,Running
3716,1.66,-0.57,0.05,151919,Running
3717,2.77,-0.24,-0.2,151959,Running
3718,2.76,-0.02,-0.06,152000,Running
3719,1.91,0.13,0.07,152041,Running
3720,1.08,0.29,0.16,152081,Running
3721,0.51,0.37,0.18,152121,Running
3722,0.15,0.5,0.27,152161,Running
3723,-0.07,0.65,0.17,152201,Running
3724,0.04,0.62,0.15,152242,Running
3725,0.33,0.55,0.08,152282,Running
3726,1.23,0.52,-0.09,152322,Running
3727,3.59,-0.05,-0.29,152363,Running
3728,2.71,-0.44,-0.1,152404,Running
3729,1.97,-0.49,-0.08,152445,Running
3730,1.22,-0.44,0.1,152486,Running
3731,0.33,-0.44,0.14,152526,Running
3732,-0.2,-0.6,0.15,152567,Running
3733,-0.44,-0.85,0.07,152607,Running
3734,-0.32,-0.88,0.09,152648,Running
3735,0.28,-0.82,0.01,152689,Running
3736,1.42,-0.39,0.02,152729,Running
3737,3.01,-0.25,-0.2,152770,Running
3738,2.77,0.09,0.03,152810,Running
3739,1.69,0.18,0.28,152850,Running
3740,0.77,0.29,0.33,152890,Running
3741,0.36,0.33,0.33,152930,Running
3742,0.21,0.44,0.35,152971,Running
3743,0.02,0.69,0.12,153011,Running
3744,0.14,0.79,-0.02,153051,Running
3745,0.59,0.73,-0.11,153091,Running
3746,2.18,0.78,-0.23,153131,Running
3747,3.69,-0.88,-0.15,153171,Running
3748,2.37,-0.71,-0.05,153212,Running
3749,1.69,-0.73,0.12,153252,Running
3750,0.75,-0.64,0.13,153292,Running
3751,0.05,-0.58,0.21,153332,Running
3752,-0.26,-0.7,0.16,153373,Running
3753,-0.36,-0.88,0.14,153414,Running
3754,-0.1,-0.86,0.08,153455,Running
3755,0.98,-0.68,0.12,153496,Running
3756,3.25,-0.75,-0.46,153536,Running
3757,3.17,-0.2,-0.09,153577,Running
3758,2.14,-0.07,0.11,153617,Running
3759,1.17,0.15,0.23,153658,Running
3760,0.54,0.34,0.24,153698,Running
3761,0.16,0.42,0.34,153738,Running
3762,-0.06,0.6,0.3,153778,Running
3763,-0.13,0.77,0.17,153818,Running
3764,0.11,0.89,0.03,153859,Running
3765,1.33,0.72,-0.12,153899,Running
3766,3.34,0.32,-0.33,153940,Running
3767,2.81,-0.38,-0.21,153981,Running
