,x,y,z,t,activity
148,0.37,-0.93,0.09,6560,Standing
149,0.37,-0.92,0.09,6601,Standing
150,0.38,-0.92,0.09,6642,Standing
151,0.38,-0.93,0.09,6682,Standing
152,0.37,-0.93,0.1,6723,Standing
153,0.37,-0.92,0.1,6763,Standing
154,0.37,-0.91,0.11,6804,Standing
155,0.36,-0.91,0.09,6845,Standing
156,0.38,-0.93,0.09,6885,Standing
157,0.38,-0.93,0.1,6926,Standing
158,0.38,-0.93,0.09,6967,Standing
159,0.38,-0.93,0.09,7007,Standing
160,0.38,-0.93,0.09,7048,Standing
161,0.37,-0.92,0.09,7088,Standing
162,0.38,-0.92,0.09,7129,Standing
163,0.39,-0.92,0.1,7170,Standing
164,0.38,-0.93,0.11,7212,Standing
165,0.39,-0.93,0.1,7252,Standing
166,0.4,-0.92,0.1,7292,Standing
167,0.39,-0.91,0.11,7332,Standing
168,0.38,-0.91,0.11,7372,Standing
169,0.38,-0.91,0.11,7413,Standing
170,0.39,-0.91,0.11,7453,Standing
171,0.37,-0.9,0.11,7493,Standing
172,0.38,-0.92,0.1,7534,Standing
173,0.41,-0.91,0.1,7574,Standing
174,0.39,-0.91,0.1,7615,Standing
175,0.4,-0.91,0.1,7655,Standing
176,0.4,-0.91,0.09,7696,Standing
177,0.4,-0.91,0.09,7736,Standing
178,0.4,-0.91,0.09,7777,Standing
179,0.41,-0.91,0.09,7817,Standing
180,0.41,-0.93,0.1,7858,Standing
181,0.4,-0.92,0.09,7898,Standing
182,0.39,-0.92,0.1,7939,Standing
183,0.39,-0.93,0.1,7979,Standing
184,0.39,-0.93,0.1,8019,Standing
185,0.39,-0.93,0.1,8059,Standing
186,0.38,-0.92,0.1,8099,Standing
187,0.38,-0.92,0.1,8140,Standing
188,0.39,-0.91,0.09,8180,Standing
189,0.39,-0.93,0.1,8221,Standing
190,0.39,-0.91,0.1,8261,Standing
191,0.39,-0.91,0.09,8302,Standing
192,0.39,-0.91,0.1,8342,Standing
193,0.39,-0.92,0.09,8383,Standing
194,0.4,-0.92,0.09,8423,Standing
195,0.4,-0.91,0.08,8464,Standing
196,0.4,-0.92,0.09,8504,Standing
197,0.39,-0.91,0.09,8545,Standing
198,0.39,-0.91,0.1,8586,Standing
199,0.39,-0.91,0.1,8626,Standing
